Filename,Native
english489,english
english49,english
english490,english
english491,english
english492,english
english493,english
english494,english
english495,english
english496,english
english497,english
english498,english
english499,english
english5,english
english50,english
english500,english
english501,english
english502,english
english503,english
english504,english
english505,english
english506,english
english507,english
english508,english
english509,english
english51,english
english510,english
english511,english
english512,english
english513,english
english514,english
english515,english
english516,english
english517,english
english518,english
english519,english
english52,english
english520,english
english521,english
english522,english
english523,english
english524,english
english525,english
english526,english
english527,english
english528,english
english529,english
english53,english
english530,english
english531,english
english532,english
english533,english
english534,english
english535,english
english536,english
english537,english
english538,english
english539,english
english54,english
english540,english
english541,english
english542,english
english543,english
english544,english
english545,english
english546,english
english547,english
english548,english
english549,english
english55,english
english550,english
english551,english
english552,english
english553,english
english554,english
english555,english
english556,english
english557,english
english558,english
english559,english
english56,english
english560,english
english561,english
english562,english
english563,english
english564,english
english565,english
english566,english
english567,english
english568,english
english569,english
english57,english
english570,english
english571,english
english572,english
english573,english
english574,english
english575,english
english576,english
english577,english
english578,english
english579,english
english58,english
english59,english
english6,english
english60,english
english61,english
english62,english
english63,english
english64,english
english65,english
english66,english
english67,english
english68,english
english69,english
english7,english
english70,english
english71,english
english72,english
english73,english
english74,english
english75,english
english76,english
english77,english
english78,english
english79,english
english8,english
english80,english
english81,english
english82,english
english83,english
english84,english
english85,english
english86,english
english87,english
english88,english
english89,english
english9,english
english90,english
english91,english
english92,english
english93,english
english94,english
english95,english
english96,english
english97,english
english98,english
english99,english
french1,french
french10,french
french11,french
french12,french
french13,french
french14,french
french15,french
french16,french
french17,french
french18,french
french19,french
french2,french
french20,french
french21,french
french22,french
french23,french
french24,french
french25,french
french26,french
french27,french
french28,french
french29,french
french3,french
french30,french
french31,french
french32,french
french33,french
french34,french
french35,french
french36,french
french37,french
french38,french
french39,french
french4,french
french40,french
french41,french
french42,french
french43,french
french44,french
french45,french
french46,french
french47,french
french48,french
french49,french
french5,french
french50,french
french51,french
french52,french
french53,french
french54,french
french55,french
french56,french
french57,french
french58,french
french59,french
french6,french
french60,french
french61,french
french62,french
french63,french
french7,french
french8,french
french9,french
hindi1,hindi
hindi10,hindi
hindi11,hindi
hindi12,hindi
hindi13,hindi
hindi14,hindi
hindi15,hindi
hindi16,hindi
hindi17,hindi
hindi18,hindi
hindi2,hindi
hindi3,hindi
hindi4,hindi
hindi5,hindi
hindi6,hindi
hindi7,hindi
hindi8,hindi
hindi9,hindi
italian1,italian
italian10,italian
italian11,italian
italian12,italian
italian13,italian
italian14,italian
italian15,italian
italian16,italian
italian17,italian
italian18,italian
italian19,italian
italian2,italian
italian20,italian
italian21,italian
italian22,italian
italian23,italian
italian24,italian
italian25,italian
italian26,italian
italian27,italian
italian28,italian
italian29,italian
italian3,italian
italian30,italian
italian31,italian
italian32,italian
italian33,italian
italian4,italian
italian5,italian
italian6,italian
italian7,italian
italian8,italian
italian9,italian
japanese1,japanese
japanese10,japanese
japanese11,japanese
japanese12,japanese
japanese13,japanese
japanese14,japanese
japanese15,japanese
japanese16,japanese
japanese17,japanese
japanese18,japanese
japanese19,japanese
japanese2,japanese
japanese20,japanese
japanese21,japanese
japanese22,japanese
japanese23,japanese
japanese24,japanese
japanese25,japanese
japanese26,japanese
japanese27,japanese
japanese3,japanese
japanese4,japanese
japanese5,japanese
japanese6,japanese
japanese7,japanese
japanese8,japanese
japanese9,japanese
